#UniProt reference proteome
P31946
P62258
Q04917
P61981
P31947
P27348
P63104
P30443
P01892
P04439
P13746
Q96QU6
Q4AC99
P30447
P05534
P18462
P30450
P30512
P16188
P16189
P10314
P30453
P16190
P30455
P30456
P30457
P01891
P10316
P30459
Q09160
P01889
P30460
P30461
P30462
P30464
P30466
P03989
P30685
P18463
Q95365
P30475
Q04826
P30479
P30480
P30481
P30483
P30484
P30485
P30486
P30488
P30487
P18464
P30490
P30491
P30492
P30493
P30495
P18465
P10319
Q29940
Q29836
Q31612
P30498
Q31610
Q29718
P30499
P30501
P04222
P30504
Q9TNN7
Q29963
P10321
P30505
P30508
P30510
Q07000
Q29960
Q95604
Q29865
Q15172
Q15173
Q14738
Q16537
Q13362
P30153
P30154
P63151
Q00005
Q66LE6
Q9Y2T4
P04229
P01912
P13760
P13761
Q30134
Q9TQE0
Q30167
P20039
Q95IE3
Q5Y7A7
Q9GIY3
P01911
Q29974
P14060
P26439
Q9H2F3
Q9Y3L3
P78314
Q7L8J4
O60239
P46952
P31937
P29372
P11171
Q13541
Q13542
O60516
Q9NRA8
P08195
P08908
P28222
P28221
P28566
P30939
P28223
P41595
P28335
P46098
O95264
Q70Z44
Q8WXA8
A5X5Y0
Q13639
P47898
P50406
P34969
Q9BXI3
Q96P26
Q9H0P0
Q969T7
P49902
P21589
P56378
P52209
O95336
P05408
P36639
P0DKL9
Q8IZ83
Q676U5
Q8NAA4
P02763
P19652
P20848
P01009
P04217
Q9NQ94
Q5TYW2
Q5SQ80
Q5VUR7
Q4UJ75
A0PJZ0
Q96IX9
P08697
P02750
P01023
A8K2U0
A7E2S9
Q5T5F5
Q9NPC4
Q9UNA3
P05067
Q96GX2
P30542
P29274
P29275
Q6P2N6
P33765
Q9NS82
P22760
Q9NRG9
Q15758
P01011
Q86V21
Q8N5Z0
Q7RTV5
Q6PD74
Q2M2I8
Q9Y478
O43741
P54619
Q9UGJ0
Q9UGI9
Q9H7C9
Q13685
Q13131
P54646
Q9Y312
P86434
Q4LEZ3
Q9BTE6
Q9UDR5
Q8NHS2
P17174
Q9NY61
P00505
Q7Z5M8
Q96GS6
Q5VST6
Q6PCB6
Q7Z5R6
P31941
Q9UH17
Q9NRW3
Q96AK3
Q8IUX4
Q9HC16
Q6NTF7
O95477
Q9BZC7
Q99758
P78363
Q8WWZ7
Q8N139
Q8IZY2
O94911
Q8IUA7
Q8WWZ4
Q4W5N1
Q86UK0
Q86UQ4
Q2M3G0
Q9NP58
O75027
Q9NUT2
Q9NP78
Q9NRK6
O95342
Q09428
O60706
Q96J66
Q9NSE7
P33897
Q9UBJ2
P28288
P45844
Q8NE71
P61221
Q9NUQ8
Q9UG63
O14678
Q9UNQ0
Q9H172
Q9H222
Q9H221
Q8N2K0
P41238
Q9Y235
Q8WW27
Q6UXT9
Q96SE0
P08910
Q8WU67
Q8TB40
Q8WTS1
Q9BV23
Q96I13
Q9NUJ1
Q8NFV4
Q7L211
Q9BUJ0
Q96IU4
O95870
Q9H3Z7
Q8IZP0
Q9NYB9
Q9P2A4
P00519
P42684
O14639
Q6H8Q1
O94929
Q9P1F3
Q8N0Z2
Q12979
Q9ULW3
Q969K4
Q8N961
Q13085
O00763
Q9UKU7
Q9H845
P28330
P11310
P16219
P49748
Q15027
Q15057
Q96P50
O00400
Q8NC06
Q5T8D3
Q9BR61
Q8N6N7
Q96GR2
Q5FVE4
P07108
Q6JQN1
Q709F0
P45954
Q96AP0
Q9BYF1
Q8TDN7
Q5QJU3
Q9NUN7
P22303
P12821
Q9GZZ6
Q15822
P32297
P43681
P30532
Q15825
P36544
Q9UGM1
P02708
P17787
Q05901
P30926
P11230
Q07001
Q04844
P07510
Q9UKV3
Q07912
Q16570
O00590
P25106
Q9NPB9
Q5JWF8
O96019
O94805
Q9Y615
Q9Y614
P53396
P11229
P08172
P20309
P08173
P08912
Q8TDX5
Q9NRP4
Q8WXI4
Q8WYK0
Q9NPJ3
Q8N1Q8
P21399
O00767
Q99798
Q86TX2
P49753
Q8N9L9
Q3I5F7
O14734
Q9Y305
Q15067
Q99424
O15254
Q9NUZ1
P13798
Q8TE99
O14561
Q8NEB7
Q96QF7
P10323
Q08AH3
Q68CK6
Q9NUB1
Q9NR19
Q96CM8
Q4G176
Q4L235
P33121
O60488
Q9ULC5
O95573
Q9UKU0
Q08AH1
Q53FZ2
P0C7M7
Q6NUN0
Q9H6R3
Q6P461
P62736
Q562R1
Q9BYX7
P60709
P68032
P63261
Q01718
P63267
Q9H568
Q8TC94
P12814
P35609
Q08043
O43707
P68133
Q8TDG2
Q9BYD9
