mass, isoelectric point, gravy, length, type
634.285694,8.499207,-1.94,5,basic
3878.718405,4.607849,-0.539,38,acid
545.280926,6.000671,-1.42,5,neutral
764.35655,7.091003,-3.0,6,basic
2165.11302,7.199524,-0.879,19,basic
1852.870572,4.535217,-0.133,15,acid
783.496673,11.200256,-0.129,7,basic
3550.707219,4.304504,0.13,33,acid
1852.009449,4.389099,-0.1,16,acid
845.424296,6.000671,-0.8,8,neutral
595.344195,8.96405,-0.86,5,basic
1509.695585,4.535217,0.45,14,acid
3287.642234,4.304504,-0.441,29,acid
1071.530886,4.535217,-1.644,9,acid
1147.627095,6.000671,0.77,10,neutral
1873.888013,3.94989,-0.347,17,acid
1451.671479,4.237854,-0.369,13,acid
1524.703113,4.237854,-0.046,13,acid
919.42621,8.950378,0.3,7,basic
2944.300758,4.236145,-0.577,26,acid
1250.650667,6.000671,0.246,13,neutral
3258.704111,8.358215,1.417,30,basic
1363.652064,6.000671,-0.758,12,neutral
605.208155,3.628601,-2.36,5,acid
15361.241425,4.833435,-0.307,144,acid
5825.959649,5.857117,0.377,56,neutral
737.301403,5.998108,-1.486,7,neutral
3792.980755,8.401794,-0.188,33,basic
1059.556038,4.535217,-0.533,9,acid
1998.004655,8.404358,-0.253,17,basic
2762.270504,4.236145,-1.25,24,acid
1078.51557,5.360657,-1.22,10,neutral
696.296636,4.258362,-3.14,5,acid
1433.793189,9.763855,0.208,12,basic
872.490207,8.499207,1.356,9,basic
2102.013625,4.542053,0.137,19,acid
1732.834187,3.930237,-0.12,15,acid
2121.037849,5.857117,0.325,20,neutral
7689.794209,6.270691,0.115,78,neutral
1482.754086,5.854553,-0.569,13,neutral
609.359845,8.96405,0.017,6,basic
894.426938,4.535217,-0.171,7,acid
1535.741747,8.333435,1.375,12,basic
807.362364,9.750183,-0.889,9,basic
855.481417,6.000671,-0.786,7,neutral
1073.550559,6.000671,-0.21,10,neutral
603.322791,5.857971,-1.42,5,neutral
1681.850429,8.36676,-0.329,14,basic
2743.421465,8.548767,0.137,24,basic
1127.528109,8.950378,-0.255,11,basic
4679.135478,5.458923,0.012,42,neutral
983.57638,9.750183,0.067,9,basic
2771.424243,4.535217,-0.048,25,acid
4729.168564,6.269836,-0.251,49,neutral
1488.742001,4.047302,-0.379,14,acid
2886.372072,4.74884,-0.431,26,acid
1034.564812,4.237854,0.644,9,acid
804.358859,8.358215,-1.229,7,basic
1081.486244,4.535217,-0.856,9,acid
887.450116,5.998962,-1.686,7,neutral
629.374826,5.857971,0.633,6,neutral
1177.689301,6.904724,1.16,10,neutral
658.339838,6.000671,-1.3,6,neutral
730.41598,9.750183,1.171,7,basic
3109.546877,5.459778,-0.35,28,neutral
2944.211862,3.711487,-2.18,25,acid
1275.60953,4.237854,-0.423,13,acid
767.349005,3.899475,-0.55,6,acid
1531.802827,8.950378,0.2,15,basic
2855.452766,4.652283,0.259,27,acid
715.376558,8.565002,-1.74,5,basic
1033.580796,8.481262,-0.544,9,basic
2550.153726,3.579041,-0.577,22,acid
1529.881729,4.535217,0.892,13,acid
818.377011,4.099426,-1.125,8,acid
2454.176193,4.127625,-0.363,24,acid
1759.918509,5.997253,0.014,14,neutral
1566.723574,4.15155,-0.514,14,acid
2451.181235,4.552307,-0.58,25,acid
987.560061,5.857971,0.244,9,neutral
6776.233776,5.529846,0.095,65,neutral
2398.235503,5.412781,0.39,20,neutral
1086.524678,9.750183,-1.111,9,basic
1134.647102,6.000671,1.4,9,neutral
1503.856183,8.808533,-0.438,13,basic
1528.922866,5.856262,1.8,14,neutral
669.453745,9.750183,1.783,6,basic
1666.871241,4.237854,0.365,17,acid
2310.022491,8.225769,0.304,24,basic
530.317646,9.750183,0.46,5,basic
2548.539654,8.950378,1.721,24,basic
1702.79847,4.389099,-0.636,14,acid
701.414583,5.65033,2.45,6,neutral
1658.847529,4.258362,-0.247,15,acid
1661.900173,8.977722,-0.4,14,basic
1853.871695,3.930237,-0.531,16,acid
3605.869122,3.634583,0.777,35,acid
1395.656028,5.853699,0.908,13,neutral
1494.695919,6.060486,-1.083,12,neutral
691.390476,8.512878,0.133,6,basic
1209.600303,12.000061,-1.94,10,basic
649.343526,6.000671,-0.267,6,neutral
1098.578171,9.763855,-0.14,10,basic
2531.292506,8.236023,1.709,23,basic
2368.300211,6.903015,-0.109,22,neutral
4639.492533,7.083313,1.429,42,basic
675.362547,8.950378,-0.1,6,basic
658.318708,9.750183,-1.433,6,basic
1303.659457,6.000671,-0.364,11,neutral
