mass, isoelectric point, gravy, length, type
1.2,7.1,-0.6,10,virginica
1.1,4,-1.8,9,versicolor
1.1,11.2,-0.6,11,virginica
0.9,8.3,0.8,8,virginica
1.1,5.5,-0.1,10,setosa
1.3,5.9,1.2,12,setosa
0.7,9,-1.1,6,virginica
1.4,4.5,-0.5,13,versicolor
1.2,6,-0.3,11,setosa
1.8,4.4,-1.4,17,versicolor
0.7,9,0.4,6,virginica
0.7,6,-2.1,5,setosa
0.6,6,-0.8,7,setosa
2.5,6.3,-0.8,24,setosa
0.8,6,0.4,7,setosa
0.8,5.9,-2,7,setosa
0.7,6,-1.4,6,setosa
1.2,4.4,-0.6,10,versicolor
0.7,9,-0.4,6,virginica
0.7,9.6,-3.1,5,virginica
1.1,4.5,-0.6,8,versicolor
0.8,4.4,-0.3,6,versicolor
1,4.4,-0.6,8,versicolor
1.1,8.3,-0.1,11,virginica
2.3,6,1.2,20,setosa
0.8,4.5,-2.9,7,versicolor
0.7,5.9,-1,7,setosa
1.3,8.5,-1.6,12,virginica
0.8,8.4,-2.7,6,virginica
3.5,4.7,-0.1,31,versicolor
0.9,5.5,-1.1,7,setosa
0.9,5.9,-0.4,8,setosa
1.3,5.9,-0.6,15,setosa
3.2,4.4,-0,28,versicolor
0.9,4.2,-1.2,8,versicolor
0.8,5.9,-0.7,8,setosa
1.8,4,-0.5,17,versicolor
1.3,4.3,-0.4,12,versicolor
0.8,6,-0.6,7,setosa
1.6,4,-0.3,15,versicolor
2.1,5.5,0,17,setosa
2.3,4.2,-1,21,versicolor
0.7,9,1.8,7,virginica
2.6,4.7,-0.6,25,versicolor
1.4,6.9,-0.4,15,setosa
0.6,5.9,-0.9,5,setosa
0.9,9.8,-0.6,8,virginica
1.6,8.3,0.8,13,virginica
1.9,5.4,0.6,20,setosa
2,6.9,-0.2,20,setosa
2.7,10.6,-0,25,virginica
5.5,3.9,-0.4,51,versicolor
1.9,3.9,0.1,17,versicolor
0.7,8.5,-0.3,6,virginica
1.2,4.2,-0.2,11,versicolor
2.1,6.9,-0.3,19,setosa
1.7,6.1,-1.1,15,setosa
3.9,4.3,-0.2,33,versicolor
1,6.9,-1.1,8,setosa
1.4,4,0.4,13,versicolor
0.7,6,-1.3,6,setosa
0.5,9,-0.5,6,virginica
1.6,4.5,-0.3,15,versicolor
2.6,6.1,-1.2,23,setosa
1,9.8,0.4,9,virginica
2.7,4,-1.4,23,versicolor
0.9,3.6,-1.6,9,versicolor
1.6,4.5,-1.6,15,versicolor
2.3,3.9,-0.4,20,versicolor
0.6,8.5,-0.4,5,virginica
0.8,8.5,-0.5,7,virginica
2.5,8.1,-0.2,22,virginica
0.9,9.8,-0.4,8,virginica
2.2,6.3,-0.7,21,setosa
0.6,6,-1.3,5,setosa
1,6,0.5,8,setosa
3.8,5.5,0.3,37,setosa
1.8,6.9,-1.2,18,setosa
0.8,9.8,-0.4,8,virginica
2,6,0.9,19,setosa
0.8,8.5,0.3,7,virginica
1.6,8.6,0.4,13,virginica
